"","ZIPCODE","Calls311","Shelters","Crime","TotalHomeless","TotalSheltered","TotalUnsheltered","YouthHomeless","city.x","state.x","LATITUDE.x","LONGITUDE.x","CRIME.CODE.DESCRIPTION","LOCATION","LATITUDE.y","LONGITUDE.y","city.y","state.y"
"1493",93779,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1494",93780,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1495",93782,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1496",93784,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1497",93786,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1498",93790,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1499",93791,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1500",93792,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1501",93793,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1502",93794,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1503",93825,NA,NA,NA,NA,NA,NA,NA,"Wofford Heights","CA",35.7174,-118.4668,NA,NA,NA,NA,NA,NA
"1504",93844,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1505",93888,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1506",93901,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.6659,-121.655,NA,NA,NA,NA,NA,NA
"1507",93902,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.3543,-121.1329,NA,NA,NA,NA,NA,NA
"1508",93905,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.6812,-121.6154,NA,NA,NA,NA,NA,NA
"1509",93906,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.7097,-121.64,NA,NA,NA,NA,NA,NA
"1510",93907,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.7541,-121.6647,NA,NA,NA,NA,NA,NA
"1511",93908,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.62,-121.6515,NA,NA,NA,NA,NA,NA
"1512",93912,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.3543,-121.1329,NA,NA,NA,NA,NA,NA
"1513",93915,NA,NA,NA,NA,NA,NA,NA,"Salinas","CA",36.3543,-121.1329,NA,NA,NA,NA,NA,NA
"1514",93920,NA,NA,NA,NA,NA,NA,NA,"Big Sur","CA",36.1334,-121.638,NA,NA,NA,NA,NA,NA
"1515",93921,NA,NA,NA,NA,NA,NA,NA,"Carmel","CA",36.5552,-121.9212,NA,NA,NA,NA,NA,NA
"1516",93922,NA,NA,NA,NA,NA,NA,NA,"Carmel","CA",36.5433,-121.9263,NA,NA,NA,NA,NA,NA
"1517",93923,NA,NA,NA,NA,NA,NA,NA,"Carmel","CA",36.5173,-121.8944,NA,NA,NA,NA,NA,NA
"1518",93924,NA,NA,NA,NA,NA,NA,NA,"Carmel Valley","CA",36.4475,-121.6861,NA,NA,NA,NA,NA,NA
"1519",93925,NA,NA,NA,NA,NA,NA,NA,"Chualar","CA",36.5813,-121.466,NA,NA,NA,NA,NA,NA
"1520",93926,NA,NA,NA,NA,NA,NA,NA,"Gonzales","CA",36.5182,-121.4256,NA,NA,NA,NA,NA,NA
"1521",93927,NA,NA,NA,NA,NA,NA,NA,"Greenfield","CA",36.3008,-121.2904,NA,NA,NA,NA,NA,NA
"1522",93928,NA,NA,NA,NA,NA,NA,NA,"Jolon","CA",36.0154,-121.2484,NA,NA,NA,NA,NA,NA
"1523",93930,NA,NA,NA,NA,NA,NA,NA,"King City","CA",36.2111,-121.0599,NA,NA,NA,NA,NA,NA
"1524",93932,NA,NA,NA,NA,NA,NA,NA,"Lockwood","CA",35.9873,-121.0479,NA,NA,NA,NA,NA,NA
"1525",93933,NA,NA,NA,NA,NA,NA,NA,"Marina","CA",36.6782,-121.7972,NA,NA,NA,NA,NA,NA
"1526",93940,NA,NA,NA,NA,NA,NA,NA,"Monterey","CA",36.5862,-121.8867,NA,NA,NA,NA,NA,NA
"1527",93942,NA,NA,NA,NA,NA,NA,NA,"Monterey","CA",36.3543,-121.1329,NA,NA,NA,NA,NA,NA
"1528",93943,NA,NA,NA,NA,NA,NA,NA,"Monterey","CA",36.3543,-121.1329,NA,NA,NA,NA,NA,NA
"1529",93944,NA,NA,NA,NA,NA,NA,NA,"Monterey","CA",36.6062,-121.9089,NA,NA,NA,NA,NA,NA
"1530",93950,NA,NA,NA,NA,NA,NA,NA,"Pacific Grove","CA",36.6191,-121.921,NA,NA,NA,NA,NA,NA
"1531",93953,NA,NA,NA,NA,NA,NA,NA,"Pebble Beach","CA",36.5908,-121.9461,NA,NA,NA,NA,NA,NA
"1532",93954,NA,NA,NA,NA,NA,NA,NA,"San Lucas","CA",36.1264,-120.9178,NA,NA,NA,NA,NA,NA
"1533",93955,NA,NA,NA,NA,NA,NA,NA,"Seaside","CA",36.6158,-121.8346,NA,NA,NA,NA,NA,NA
"1534",93960,NA,NA,NA,NA,NA,NA,NA,"Soledad","CA",36.4118,-121.3262,NA,NA,NA,NA,NA,NA
"1535",93962,NA,NA,NA,NA,NA,NA,NA,"Spreckels","CA",36.6246,-121.6466,NA,NA,NA,NA,NA,NA
"1536",94002,NA,NA,NA,NA,NA,NA,NA,"Belmont","CA",37.5167,-122.2903,NA,NA,NA,NA,NA,NA
"1537",94003,NA,NA,NA,NA,NA,NA,NA,"Belmont","CA",37.3811,-122.3348,NA,NA,NA,NA,NA,NA
"1538",94005,NA,NA,NA,NA,NA,NA,NA,"Brisbane","CA",37.6829,-122.4042,NA,NA,NA,NA,NA,NA
