LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIPCODE,X_COORDINATE,Y_COORDINATE,INCIDENT_ID,REPORTING_DISTRICT,SEQ,UNIT_ID,UNIT_NAME,DELETED
18387256,11/4/2017 22:02,VANDALISM,261,VANDALISM MISD,"COGSWELL AVE & GOMEZ PALACIO DR, SOUTH EL MONTE, CA 91733",COGSWELL AVE & GOMEZ PALACIO DR,SOUTH EL MONTE,91733,6547511.5,1836702.5,917-12710-0562,562,12710,CA0190005,TEMPLE,N
18387341,11/5/2017 0:45,VANDALISM,261,VANDALISM MISD,"9000 MISSION DR, ROSEMEAD, CA 91770",9000 MISSION DR,ROSEMEAD,91770,6539656.772,1852852.085,917-12713-0530,530,12713,CA0190005,TEMPLE,N
18387340,11/5/2017 1:01,VANDALISM,263,VANDALISM FELONY,"27600 ROSA LN, CANYON COUNTRY, CA 91387",27600 ROSA LN,CANYON COUNTRY,91387,6428532.124,1972943.025,017-15628-0633,633,15628,CA0190006,SANTA CLARITA VALLEY,N
18387391,11/5/2017 1:15,VANDALISM,263,VANDALISM FELONY,"3600 PLATT AVE, LYNWOOD, CA 90262",3600 PLATT AVE,LYNWOOD,90262,6499987.016,1795462.35,917-17202-2112,2112,17202,CA01900V3,CENTURY,N
18387399,11/5/2017 1:30,VANDALISM,261,VANDALISM MISD,"1100 ELDERGLEN LN, HARBOR CITY, CA 90710",1100 ELDERGLEN LN,HARBOR CITY,90710,6471894.153,1753467.094,917-12259-1698,1698,12259,CA0190016,CARSON,N
18390973,11/5/2017 1:30,VANDALISM,261,VANDALISM MISD,"3900 COUNTRY CLUB DR, LAKEWOOD, CA 90712",3900 COUNTRY CLUB DR,LAKEWOOD,90712,6517058.995,1763990.254,917-80212-1323,1323,80212,CA0190013,LAKEWOOD,N
18387887,11/5/2017 1:45,VANDALISM,263,VANDALISM FELONY,"1700 E AVENUE J-4, LANCASTER, CA",1700 E AVENUE J-4,LANCASTER,,6531988.217,2072004.998,917-80126-1137,1137,80126,CA0190024,LANCASTER,N
18387393,11/5/2017 2:16,VANDALISM,261,VANDALISM MISD,"23700 LIVEWOOD LN, HARBOR CITY, CA 90710",23700 LIVEWOOD LN,HARBOR CITY,90710,6471885.796,1753118.47,917-12258-1698,1698,12258,CA0190016,CARSON,N
18387478,11/5/2017 2:30,VANDALISM,263,VANDALISM FELONY,"9500 LEMON AVE, TEMPLE CITY, CA 91780",9500 LEMON AVE,TEMPLE CITY,91780,6541972.662,1865701.723,917-12718-0521,521,12718,CA0190005,TEMPLE,N
18387539,11/5/2017 2:40,VANDALISM,261,VANDALISM MISD,"5800 ROSEMEAD BLVD, TEMPLE CITY, CA 91780",5800 ROSEMEAD BLVD,TEMPLE CITY,91780,6539356.677,1860725.681,917-12722-0522,522,12722,CA0190005,TEMPLE,N
18387451,11/5/2017 2:50,VANDALISM,261,VANDALISM MISD,"39400 10TH ST W, PALMDALE, CA 93551",39400 10TH ST W,PALMDALE,93551,6517261.481,2040658.595,917-16127-2619,2619,16127,CA01900W9,PALMDALE,N
18387415,11/5/2017 3:30,VANDALISM,261,VANDALISM MISD,"10300 WEAVER ST, SOUTH EL MONTE, CA 91733",10300 WEAVER ST,SOUTH EL MONTE,91733,6547843.886,1842221.005,917-12716-0561,561,12716,CA0190005,TEMPLE,N
18387412,11/5/2017 8:45,VANDALISM,261,VANDALISM MISD,"13300 TOWNE AVE, LOS ANGELES, CA 90059",13300 TOWNE AVE,LOS ANGELES,90059,6480446.278,1790268.68,917-17204-2142,2142,17204,CA01900V3,CENTURY,N
18387486,11/5/2017 9:34,VANDALISM,261,VANDALISM MISD,"EMPIRE AVE & HOLLYWOOD WAY, BURBANK, CA",EMPIRE AVE & HOLLYWOOD WAY,BURBANK,,6455982.726,1892568.953,917-03263-6876,6876,3263,CA0190031,TRANSIT SERV BUR,N
18387664,11/5/2017 11:00,VANDALISM,263,VANDALISM FELONY,"13800 FIJI WAY, MARINA DEL REY, CA 90292",13800 FIJI WAY,MARINA DEL REY,90292,6426407.574,1812257.235,917-03144-2760,2760,3144,CA0190065,MARINA DEL REY,N
18388396,11/5/2017 11:00,VANDALISM,263,VANDALISM FELONY,"1200 E AVENUE S, PALMDALE, CA",1200 E AVENUE S,PALMDALE,,6530209.199,2025042.38,917-16178-2603,2603,16178,CA01900W9,PALMDALE,N
