CRIME CODE DESCRIPTION,LOCATION ,LATITUDE,LONGITUDE
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0503, -118.2433)",34.0503,-118.2433
ROBBERY,"(34.0468, -118.2415)",34.0468,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
ROBBERY,"(34.0473, -118.2425)",34.0473,-118.2425
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
"RAPE, FORCIBLE","(34.0444, -118.2407)",34.0444,-118.2407
ROBBERY,"(34.0565, -118.2768)",34.0565,-118.2768
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0573, -118.2763)",34.0573,-118.2763
ROBBERY,"(34.0596, -118.2749)",34.0596,-118.2749
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.057, -118.2779)",34.057,-118.2779
ROBBERY,"(34.0565, -118.2768)",34.0565,-118.2768
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0601, -118.2761)",34.0601,-118.2761
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0565, -118.2768)",34.0565,-118.2768
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0565, -118.2768)",34.0565,-118.2768
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0565, -118.2768)",34.0565,-118.2768
ROBBERY,"(34.0601, -118.2761)",34.0601,-118.2761
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0601, -118.2761)",34.0601,-118.2761
"RAPE, FORCIBLE","(34.0565, -118.2768)",34.0565,-118.2768
ROBBERY,"(34.0596, -118.2749)",34.0596,-118.2749
ROBBERY,"(34.0596, -118.2749)",34.0596,-118.2749
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0596, -118.2749)",34.0596,-118.2749
"RAPE, FORCIBLE","(34.0601, -118.2761)",34.0601,-118.2761
"RAPE, FORCIBLE","(34.0601, -118.2761)",34.0601,-118.2761
ROBBERY,"(34.0596, -118.2749)",34.0596,-118.2749
ROBBERY,"(34.0596, -118.2749)",34.0596,-118.2749
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0596, -118.2749)",34.0596,-118.2749
ROBBERY,"(34.058, -118.2759)",34.058,-118.2759
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0601, -118.2761)",34.0601,-118.2761
ROBBERY,"(34.0565, -118.2768)",34.0565,-118.2768
ROBBERY,"(34.0573, -118.2763)",34.0573,-118.2763
ROBBERY,"(34.0565, -118.2768)",34.0565,-118.2768
ROBBERY,"(34.0565, -118.2768)",34.0565,-118.2768
ROBBERY,"(34.0596, -118.2749)",34.0596,-118.2749
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0234, -118.2177)",34.0234,-118.2177
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0187, -118.2118)",34.0187,-118.2118
ROBBERY,"(34.0487, -118.4413)",34.0487,-118.4413
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0495, -118.4387)",34.0495,-118.4387
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2202, -118.571)",34.2202,-118.571
ROBBERY,"(34.1649, -118.379)",34.1649,-118.379
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1681, -118.379)",34.1681,-118.379
ROBBERY,"(34.1649, -118.379)",34.1649,-118.379
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1649, -118.379)",34.1649,-118.379
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.951, -118.2396)",33.951,-118.2396
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9506, -118.2363)",33.9506,-118.2363
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9515, -118.2419)",33.9515,-118.2419
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0544, -118.2378)",34.0544,-118.2378
"RAPE, FORCIBLE","(34.0563, -118.2374)",34.0563,-118.2374
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0566, -118.2319)",34.0566,-118.2319
"RAPE, FORCIBLE","(34.0563, -118.2374)",34.0563,-118.2374
ROBBERY,"(34.0563, -118.2374)",34.0563,-118.2374
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0563, -118.2374)",34.0563,-118.2374
ROBBERY,"(34.2246, -118.571)",34.2246,-118.571
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.232, -118.5623)",34.232,-118.5623
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2312, -118.5632)",34.2312,-118.5632
ROBBERY,"(34.2303, -118.5645)",34.2303,-118.5645
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0641, -118.248)",34.0641,-118.248
ROBBERY,"(34.1802, -118.44)",34.1802,-118.44
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1802, -118.4487)",34.1802,-118.4487
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1852, -118.4837)",34.1852,-118.4837
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.7799, -118.2637)",33.7799,-118.2637
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9601, -118.2782)",33.9601,-118.2782
ROBBERY,"(33.964, -118.2739)",33.964,-118.2739
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9601, -118.2782)",33.9601,-118.2782
ROBBERY,"(34.0349, -118.263)",34.0349,-118.263
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0321, -118.2599)",34.0321,-118.2599
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0363, -118.2672)",34.0363,-118.2672
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0363, -118.2672)",34.0363,-118.2672
CRIMINAL HOMICIDE,"(34.0398, -118.2726)",34.0398,-118.2726
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0321, -118.2599)",34.0321,-118.2599
ROBBERY,"(34.0467, -118.2556)",34.0467,-118.2556
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0407, -118.268)",34.0407,-118.268
ROBBERY,"(34.0467, -118.2556)",34.0467,-118.2556
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0467, -118.2556)",34.0467,-118.2556
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0495, -118.2529)",34.0495,-118.2529
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0495, -118.2529)",34.0495,-118.2529
ROBBERY,"(34.0473, -118.2601)",34.0473,-118.2601
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0463, -118.255)",34.0463,-118.255
ROBBERY,"(34.048, -118.2577)",34.048,-118.2577
"RAPE, FORCIBLE","(34.0495, -118.2529)",34.0495,-118.2529
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0502, -118.254)",34.0502,-118.254
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0502, -118.254)",34.0502,-118.254
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0491, -118.2558)",34.0491,-118.2558
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0462, -118.2585)",34.0462,-118.2585
ROBBERY,"(34.0473, -118.2601)",34.0473,-118.2601
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0509, -118.2585)",34.0509,-118.2585
ROBBERY,"(34.0488, -118.2518)",34.0488,-118.2518
"RAPE, FORCIBLE","(34.0519, -118.2531)",34.0519,-118.2531
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.997, -118.4761)",33.997,-118.4761
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.997, -118.4761)",33.997,-118.4761
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.997, -118.4761)",33.997,-118.4761
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.997, -118.4761)",33.997,-118.4761
ROBBERY,"(33.997, -118.4761)",33.997,-118.4761
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.997, -118.4761)",33.997,-118.4761
